LANGUAGE,English,French,Italian,Spanish,German, Comment

STR_S01r01,"YOU'RE IN POSITION, SIX. NOW GRAB THAT TRUCK AND GET OUT OF THERE. OUT.","VOUS ETES EN POSITION, SIX. BIEN, MONTEZ DANS CE CAMION ET TIREZ-VOUS D'ICI. TERMINE.","SEI IN POSIZIONE, SEI. ADESSO PRENDI QUELL'AUTOCARRO ED ESCI DI LÌ. CHIUDO.","SEIS, ESTÁ EN POSICIÓN. SUBA AL CAMIÓN Y SALGA PITANDO. CORTO Y CIERRO.","SIE SIND IN STELLUNG, SECHS. NEHMEN SIE SICH DEN LASTER UND VERSCHWINDEN SIE DA. ENDE.",Sergeant Hawley

STR_S01r02,"COMMAND, THIS IS ALPHA. THERE'S, UH, BEEN AN ACCIDENT. THE CAR'S WASTED. WHAT SHOULD I DO? OVER.","COMMANDEMENT, ICI ALPHA. NOUS AVONS EU, EUH, UN ACCIDENT. LA VOITURE EST FOUTUE. QU'EST-CE QUE JE FAIS ? A VOUS.","COMANDO, QUI ALFA. C'È STATO UN... INCIDENTE. L'AUTO È FUORI USO. COSA DEVO FARE? PASSO.","COMANDO, AQUÍ ALFA. HA HABIDO... UN PEQUEÑO ACCIDENTE. EL COCHE HA QUEDADO INSERVIBLE. ¿QUÉ HAGO? CAMBIO Y CORTO.","KOMMANDO, HIER SPRICHT ALPHA. ÄHM... ES HAT EINEN UNFALL GEGEBEN. DAS FAHRZEUG IST HIN. WAS SOLL ICH MACHEN? OVER.",Armstrong
STR_S01r02a,"GET BACK TO DOURDAN AND FACE THE MUSIC, SOLDIER. OUT.","RETOURNEZ A DOURDAN ET AFFRONTEZ LA TEMPETE, SOLDAT. TERMINE.","TORNA A DOURDAN E AFFRONTA LE CONSEGUENZE, SOLDATO. CHIUDO.","VUELVA A DOURDAN Y AGUANTE EL CHAPARRÓN, SOLDADO. CORTO Y CIERRO.",KEHREN SIE NACH DOURDAN ZURÜCK. DA WERDEN SIE SCHON WAS ZU HÖREN BEKOMMEN. ENDE.,Sergeant Hawley

STR_S01v03,"Woah, I'm way off course. Better check my map.","Oh la, j'ai complètement dévié, moi. Je ferais bien de vérifier ma carte.","Diavolo, sono completamente fuori rotta. È meglio che controlli la mappa.","Puf, me he alejado mucho de la ruta. Será mejor mirar el mapa.","Mist, bin völlig vom Kurs abgekommen. Sollte lieber auf der Landkarte nachsehen.", Armstrong - to himself

STR_S01v04,"That's nice work, soldier. I knew you had it in you.","Beau travail, soldat. Je savais que vous pouviez réussir.","Ottimo lavoro, soldato. Lo sapevo che eri in gamba.","Un trabajo excelente, soldado. Sabía que lo conseguiría.","Gute Arbeit, Soldat. Wusste ich doch, dass Sie was draufhaben.",Sergeant Hawley
STR_S01v05,"What the...? Well, at least you made it back in one piece.","Qu'est-ce que...? Bon, au moins, vous êtes revenu sain et sauf.","Che diamine...? Bene, almeno sei tornato tutto intero.","¿Qué demonios...? Bueno, al menos ha regresado entero.,","Aber was...? Naja, immerhin sind sie heil wiedergekommen.",Sergeant Hawley
STR_S01v06,"What are you playing at, soldier? Where the hell's that UAZ? Go get it!","A quoi jouez-vous, soldat ? Où est passé ce foutu UAZ ? Allez le chercher !","A che gioco stai giocando, soldato? Dove diavolo è quella UAZ? Vai a prenderla!","¿A qué juega, soldado? ¿Dónde narices está ese UAZ? ¡Vaya a buscarlo!","Was treiben Sie eigentlich, Soldat? Und wo ist der Jeep abgeblieben? Los, holen Sie ihn!", Sergeant Hawley
STR_S01v07,"I made it, sir. But, uh, the car didn't. It's still back there somewhere.","J'ai réussi. Mais, euh, pas la voiture. Elle est restée quelque part là-bas.","Io ce l'ho fatta, signore. Ma... l'auto no. È rimasta là da qualche parte.","Yo he conseguido regresar, señor. Pero, ejem, el coche no. Se ha quedado en el camino.","Ich hab's geschafft, Sir. Das Fahrzeug aber leider nicht. Es ist noch irgendwo da draußen.",Armstrong
