LANGUAGE,English,French,Italian,Spanish,German, Comment


STR_S06r01,ALPHA ONE TO ALL UNITS. REMEMBER - NO-ONE IS TO LEAVE HERE ALIVE. LET'S WASTE 'EM! OUT.,ALPHA UN A TOUTES LES UNITES. JE VOUS RAPPELLE QUE LE MOT D'ORDRE EST : PAS DE QUARTIER. ON VA TOUS LES TUER ! TERMINE.,ALFA UNO A TUTTE LE UNITÀ. RICORDATEVELO: NESSUNO DEVE USCIRE VIVO DA QUI. FACCIAMOLI A PEZZI! CHIUDO.,"ALFA UNO A TODAS LAS UNIDADES. RECUERDEN, NADIE DEBE QUEDAR CON VIDA. ¡HAY QUE ACABAR CON TODOS! CORTO Y CIERRO.",ALPHA EINS AN ALLE EINHEITEN. DENKT DRAN: HIER SOLL KEINER LEBEND 'RAUSKOMMEN. MACHT SIE FERTIG! ENDE.,Sergeant Newman
STR_S06r02,ALPHA ONE. WE GOT 'EM ALL. TOWN SECURED. LET'S GET TO THE EXTRACTION POINT. OUT.,ALPHA UN. ON DIRAIT QU'ON LES A TOUS EUS. NOUS CONTROLONS LA VILLE. ALLONS AU POINT D'EXTRACTION. TERMINE.,ALFA UNO. LI ABBIAMO FATTI FUORI TUTTI. LA CITTÀ È AL SICURO. ANDIAMO AL PUNTO DI RACCOLTA. CHIUDO.,ALFA UNO. NOS HEMOS ENCARGADO DE LOS ENEMIGOS. LA CIUDAD ES NUESTRA. NOS DIRIGIMOS AL PUNTO DE EVACUACIÓN. CORTO Y CIERRO.,ALPHA EINS. WIR HABEN SIE ALLE ERWISCHT. DER ORT IST GESICHERT. WEITER ZUM AUFNAHMEPUNKT. ENDE.,Sergeant Newman


--------- Titles -------,,,,,,

STR_END_1,Mission completed,Mission accomplie,Missione compiuta,Misión cumplida.,Einsatz abgeschlossen, AfterMission
STR_END_2,Completed,Terminé,Compiuto,Cumplida,Abgeschlossen, AfterMission

STR_S06n10,Insertion point,Point d'insertion,Punto di inserimento,Punto de inserción,Ausgangspunkt, Marker
STR_S06n11,Seize the city,Prendre le contrôle de la ville,Occupare la città,Ocupe la ciudad,Die Stadt besetzen, Marker
STR_S06n12,Meeting point,Point de rendez-vous,Punto di incontro,Punto de encuentro,Treffpunkt, Marker

STR_S06n40,"Montignac, Everon","Montignac, Everon","Montignac, Everon","Montignac, Everon","Montignac, Everon", PreBriefing

STR_S06n24,MEETING POINT,POINT DE RENDEZ-VOUS,PUNTO DI INCONTRO,PUNTO DE ENCUENTRO,TREFFPUNKT, Waypoint
