LANGUAGE,English,French,Italian,Spanish,German,Czech, Comment

STR_c02r01,THIS IS PAPA BEAR TO ALL SQUADS. YOU'RE APPROACHING THE ENEMY POSITIONS. CONTACT IS IMMINENT. GOD HELP US ALL. OUT.,PAPA OURS A TOUTES LES ESCOUADES. VOUS APPROCHEZ DES POSITIONS ENNEMIES. LE CONTACT EST IMMINENT. QUE DIEU NOUS PROTEGE. TERMINE.,QUI PAPA ORSO A TUTTE LE SQUADRE. VI STATE AVVICINANDO ALLE POSIZIONI DEL NEMICO. IL CONTATTO È IMMINENTE. CHE DIO CI AIUTI. CHIUDO.,AQUÍ PAPÁ OSO LLAMANDO A TODOS LOS COMANDOS. SE ESTÁN ACERCANDO A POSICIONES ENEMIGAS. EL CONTACTO ES INMINENTE. QUE DIOS NOS AYUDE. CORTO Y CIERRO.,HIER SPRICHT PAPA BÄR. AN ALLE TRUPPS. IHR NÄHERT EUCH DEN GEGNERISCHEN STELLUNGEN. GEGNER IN UNMITTELBARER NÄHE. HOFFEN WIR AUF'S BESTE. ENDE.,"TÁTA MEDVÌD VŠEM JEDNOTKÁM. BLÍŽÍTE SE K NEPØÁTELSKÝM POZICÍM, HROZÍ BEZPROSTØEDNÍ KONTAKT. BÙH VÁM POMÁHEJ. KONEC.", Sergeant Hawley
STR_c02r02,THIS IS PAPA BEAR TO ALL SQUADS. PAPA BEAR TO ALL SQUADS. HEAVY ENEMY ARMORED AND INFANTRY TROOPS ARE COMING FROM THE NORTHEAST. ENTRENCH YOUR POSITIONS AND HOLD THE AREA AT ALL COSTS. OUT.,PAPA OURS A TOUTES LES ESCOUADES. PAPA OURS A TOUTES LES ESCOUADES. DES TROUPES D'INFANTERIE ET DES TROUPES BLINDEES ENNEMIES ARRIVENT EN FORCE DU NORD-EST. RETRANCHEZ VOS POSITIONS ET DEFENDEZ LA ZONE A TOUS PRIX. TERMINE.,QUI PAPA ORSO A TUTTE LE SQUADRE. PAPA ORSO A TUTTE LE SQUADRE. CONSISTENTI TRUPPE NEMICHE CORAZZATE E DI FANTERIA SONO IN AVVICINAMENTO DA NORD-EST. FORTIFICATE LE VOSTRE POSIZIONI E DIFENDETE LA ZONA AD OGNI COSTO. CHIUDO.,AQUÍ PAPÁ OSO LLAMANDO A TODOS LOS COMANDOS. PAPÁ OSO A TODOS LOS COMANDOS. SE ACERCAN POR EL NORESTE UNIDADES BLINDADAS Y DE INFANTERÍA ENEMIGAS. CONSOLIDEN SUS POSICIONES Y DEFIENDAN LA ZONA A TODA COSTA. CORTO Y CIERRO.,HIER SPRICHT PAPA BÄR. AN ALLE TRUPPS. PAPA BÄR AN ALLE TRUPPS SCHWERE PANZER UND INFANTERIE DES GEGNERS AUS NORDOST. GEHT IN STELLUNG UND HALTET DIESES GEBIET UM JEDEN PREIS. ENDE.,"TÁTA MEDVÌD VŠEM JEDNOTKÁM, TÁTA MEDVÌD VŠEM JEDNOTKÁM. OBRNÌNÉ NEPØÁTELSKÉ POSILY DOPROVÁZENÉ PÌCHOTOU SE BLÍŽÍ OD SEVEROVÝCHODU. OPEVNÌTE SVÉ POZICE A UDRŽTE OBLAST ZA KAŽDOU CENU. KONEC.",Sergeant Hawley

STR_c02v01,"This is all wrong. I really should check my mission plan...","Il y a un problème. Il faudrait vraiment que je consulte le plan de mission...","Esto se está poniendo muy mal. Debería de echarle un vistazo al plan de la misión...","Sta andando tutto storto. Dovrei davvero controllare il piano della missione...","Das stimmt alles nicht. Am besten sehe ich mal in den Einsatzplan...","A sakra, nìjak jsem to pomotal. Mìl bych si znovu projít plán...", Hammer


-------- Titles -------,,,,,,

STR_c02n01,Mission completed,Mission accomplie,Missione compiuta,Misión cumplida,Einsatz abgeschlossen,Mise dokonèena, Title
STR_c02n02,Insertion point,Point d'insertion,Punto di inserimento,Punto de inserción,Ausgangspunkt,Startovní pozice, Marker
STR_c02n03,Lost in enemy territory,Perdu en territoire ennemi,Perduto in territorio nemico,Perdido en territorio enemigo,Auf gegnerischem Gebiet,Ztracen v nepøátelském území, Descritption only
STR_c02n04,Central Everon,Centre d'Everon,Zona centrale di Everon,Everon central,Im Innern Everons,Centrální Everon
